"Name","Kind","Refs","DefFiles","FirstFile","FirstLine","AnyPartial"
"AutoTestMetricBuilder","class","3","Module\AutoTestMetricBuilder.cs","Module\AutoTestMetricBuilder.cs","6","False"
"AutoTestVisionProbeHelper","class","3","Module\AutoTestVisionProbeHelper.cs","Module\AutoTestVisionProbeHelper.cs","13","False"
"BrushPreviewResolver","class","3","Module\Editor\BrushPreviewResolver.cs","Module\Editor\BrushPreviewResolver.cs","9","False"
"ButtonPressFlash","class","3","Module\Panel\ButtonPressFlash.cs","Module\Panel\ButtonPressFlash.cs","14","False"
"CachedBlocksSightProvider","class","3","MiniRPG.Shared\Core\AI\AIVisionBatch.cs","MiniRPG.Shared\Core\AI\AIVisionBatch.cs","102","False"
"CellStackSnapshot","class","3","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","1087","False"
"CellularGenerationConfig","class","3","MiniRPG.Shared\Core\Config\GameConfig.cs","MiniRPG.Shared\Core\Config\GameConfig.cs","423","False"
"ChordEvent","class","3","MiniRPG.Shared\Core\Music\MusicScore.cs","MiniRPG.Shared\Core\Music\MusicScore.cs","24","False"
"CombatFxTextConfig","class","3","Module\Render\CombatFxRegistry.cs","Module\Render\CombatFxRegistry.cs","406","False"
"ConversationBranchDef","class","3","MiniRPG.Shared\Core\Conversation\ConversationModels.cs","MiniRPG.Shared\Core\Conversation\ConversationModels.cs","122","False"
"ConversationCheckResolver","class","3","MiniRPG.Shared\Core\Conversation\ConversationCheckResolver.cs","MiniRPG.Shared\Core\Conversation\ConversationCheckResolver.cs","17","False"
"DailySummary","class","3","MiniRPG.Shared\Core\Event\DailySummaryBuilder.cs","MiniRPG.Shared\Core\Event\DailySummaryBuilder.cs","22","False"
"DialogEffect","class","3","MiniRPG.Shared\Core\Data\DialogTypes.cs","MiniRPG.Shared\Core\Data\DialogTypes.cs","85","False"
"DrunkardWalkGenerationConfig","class","3","MiniRPG.Shared\Core\Config\GameConfig.cs","MiniRPG.Shared\Core\Config\GameConfig.cs","456","False"
"EditorPerspectiveResolver","class","3","Module\Render\EditorPerspectiveResolver.cs","Module\Render\EditorPerspectiveResolver.cs","9","False"
"ENetPeerFlag","enum","3","MiniRPG.Shared\Vendor\ENet\include\enet.cs","MiniRPG.Shared\Vendor\ENet\include\enet.cs","459","False"
"ENetProtocolBandwidthLimit","struct","3","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","110","False"
"ENetProtocolConnect","struct","3","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","75","False"
"ENetProtocolDisconnect","struct","3","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","125","False"
"ENetProtocolThrottleConfigure","struct","3","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","117","False"
"ENetProtocolVerifyConnect","struct","3","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","93","False"
"ENetSocketWait","enum","3","MiniRPG.Shared\Vendor\ENet\include\enet.cs","MiniRPG.Shared\Vendor\ENet\include\enet.cs","33","False"
"FacilityIds","class","3","MiniRPG.Shared\Core\Data\FacilityModels.cs","MiniRPG.Shared\Core\Data\FacilityModels.cs","84","False"
"FacilityTags","class","3","MiniRPG.Shared\Core\Data\FacilityModels.cs","MiniRPG.Shared\Core\Data\FacilityModels.cs","123","False"
"FacilityUseSlot","class","3","MiniRPG.Shared\Core\Data\FacilityModels.cs","MiniRPG.Shared\Core\Data\FacilityModels.cs","200","False"
"FacilityUseSlotPurpose","enum","3","MiniRPG.Shared\Core\Data\FacilityModels.cs","MiniRPG.Shared\Core\Data\FacilityModels.cs","27","False"
"FirearmModule","class","3","MiniRPG.Shared\Core\Combat\FirearmModule.cs","MiniRPG.Shared\Core\Combat\FirearmModule.cs","8","False"
"FireConfig","class","3","MiniRPG.Shared\Core\Config\GameConfig.cs","MiniRPG.Shared\Core\Config\GameConfig.cs","278","False"
"GenerationConfigSet","class","3","MiniRPG.Shared\Core\Config\GameConfig.cs","MiniRPG.Shared\Core\Config\GameConfig.cs","387","False"
